source,target,type,weight
108,46059,directed,1
109,45839,directed,1
110,45889,directed,1
111,46060,directed,1
112,46061,directed,1
112,46062,directed,1
112,46063,directed,1
113,46064,directed,1
114,46065,directed,1
113,18483,directed,1
115,46066,directed,1
115,46067,directed,1
115,46029,directed,1
115,46068,directed,1
115,46013,directed,1
115,46069,directed,1
115,45983,directed,1
10,46070,directed,1
10,46071,directed,1
116,45947,directed,1
117,46072,directed,1
117,9,directed,1
118,46073,directed,1
118,46018,directed,1
118,46074,directed,1
119,45922,directed,1
119,4582,directed,1
120,46075,directed,1
121,46076,directed,1
121,46077,directed,1
121,46078,directed,1
122,46079,directed,1
123,46080,directed,1
124,46081,directed,1
124,45947,directed,1
124,46082,directed,1
113,45968,directed,1
125,46042,directed,1
126,46083,directed,1
127,46084,directed,1
128,46085,directed,1
128,46086,directed,1
128,46087,directed,1
128,46088,directed,1
128,46089,directed,1
128,46090,directed,1
128,46091,directed,1
128,46085,directed,1
128,46086,directed,1
128,46087,directed,1
128,46088,directed,1
128,46089,directed,1
128,46090,directed,1
128,46091,directed,1
129,46092,directed,1
130,46093,directed,1
131,46094,directed,1
131,46095,directed,1
132,46096,directed,1
133,46084,directed,1
134,46097,directed,1
135,46098,directed,1
134,46097,directed,1
131,46099,directed,1
133,46100,directed,1
133,46042,directed,1
128,46101,directed,1
128,46102,directed,1
128,46103,directed,1
128,46104,directed,1
128,46105,directed,1
128,46106,directed,1
128,46107,directed,1
128,45982,directed,1
128,46108,directed,1
128,46109,directed,1
128,46110,directed,1
128,46111,directed,1
136,46112,directed,1
137,46113,directed,1
135,46114,directed,1
135,46115,directed,1
138,7157,directed,1
138,46116,directed,1
134,46097,directed,1
135,45975,directed,1
136,46117,directed,1
139,45987,directed,1
140,46118,directed,1
130,46119,directed,1
130,46120,directed,1
130,46121,directed,1
130,46119,directed,1
130,46121,directed,1
141,46122,directed,1
142,46123,directed,1
142,46124,directed,1
143,46125,directed,1
144,46126,directed,1
145,46127,directed,1
113,45968,directed,1
146,46128,directed,1
147,46129,directed,1
147,46130,directed,1
148,46131,directed,1
149,46132,directed,1
149,46133,directed,1
150,46134,directed,1
150,46135,directed,1
126,46136,directed,1
151,88,directed,1
151,45836,directed,1
152,46137,directed,1
153,46138,directed,1
154,46139,directed,1
154,46140,directed,1
155,8277,directed,1
156,46141,directed,1
156,8965,directed,1
34,46082,directed,1
34,45876,directed,1
156,8089,directed,1
157,45922,directed,1
158,46142,directed,1
159,37693,directed,1
160,46143,directed,1
150,46144,directed,1
161,45968,directed,1
162,46145,directed,1
162,46146,directed,1
128,26431,directed,1
128,46147,directed,1
128,46090,directed,1
128,46148,directed,1
128,2087,directed,1
128,46149,directed,1
128,46150,directed,1
128,46151,directed,1
163,46152,directed,1
163,46153,directed,1
164,45876,directed,1
165,46154,directed,1
165,46033,directed,1
134,4428,directed,1
28,46155,directed,1
166,45836,directed,1
166,45839,directed,1
166,46156,directed,1
167,45922,directed,1
166,46157,directed,1
166,45836,directed,1
166,45839,directed,1
166,46156,directed,1
168,46158,directed,1
167,45922,directed,1
169,45864,directed,1
170,46159,directed,1
166,46160,directed,1
166,46161,directed,1
