source,target,type,weight
192,25894,directed,1
193,25895,directed,1
194,25739,directed,1
21,25725,directed,1
195,25896,directed,1
167,5564,directed,1
76,25868,directed,1
196,25819,directed,1
197,25722,directed,1
194,25737,directed,1
73,25897,directed,1
198,25898,directed,1
188,25899,directed,1
194,25740,directed,1
199,25900,directed,1
168,25901,directed,1
200,25902,directed,1
201,25726,directed,1
202,25903,directed,1
203,25904,directed,1
204,919,directed,1
188,25905,directed,1
205,25710,directed,1
206,25710,directed,1
206,25710,directed,1
206,25906,directed,1
207,25907,directed,1
206,25685,directed,1
206,25908,directed,1
208,25907,directed,1
206,25710,directed,1
206,25685,directed,1
209,25909,directed,1
210,210,directed,1
210,210,directed,1
210,210,directed,1
206,25710,directed,1
211,25910,directed,1
212,25911,directed,1
212,25911,directed,1
213,213,directed,1
211,25912,directed,1
212,25913,directed,1
211,25914,directed,1
212,25756,directed,1
212,25911,directed,1
206,25913,directed,1
214,25737,directed,1
206,25913,directed,1
212,25756,directed,1
211,25915,directed,1
206,25913,directed,1
211,25916,directed,1
215,25773,directed,1
216,25917,directed,1
215,25908,directed,1
217,25918,directed,1
218,25919,directed,1
206,25920,directed,1
219,219,directed,1
220,220,directed,1
206,25920,directed,1
206,25920,directed,1
221,221,directed,1
222,222,directed,1
223,223,directed,1
206,25921,directed,1
206,25920,directed,1
206,25922,directed,1
224,25849,directed,1
206,25922,directed,1
225,25923,directed,1
226,25924,directed,1
227,25849,directed,1
206,25920,directed,1
228,25925,directed,1
229,229,directed,1
230,230,directed,1
229,229,directed,1
206,25926,directed,1
231,231,directed,1
232,25927,directed,1
206,25928,directed,1
233,233,directed,1
206,25928,directed,1
234,25929,directed,1
235,235,directed,1
235,235,directed,1
236,25930,directed,1
237,25931,directed,1
238,25932,directed,1
239,25933,directed,1
240,240,directed,1
241,25934,directed,1
242,242,directed,1
243,243,directed,1
232,25935,directed,1
244,244,directed,1
245,25936,directed,1
245,25937,directed,1
206,25938,directed,1
206,25938,directed,1
246,25939,directed,1
247,25940,directed,1
248,25941,directed,1
249,25942,directed,1
249,25942,directed,1
206,25938,directed,1
249,25737,directed,1
250,25943,directed,1
251,251,directed,1
252,25944,directed,1
206,25926,directed,1
206,25926,directed,1
206,25926,directed,1
253,5124,directed,1
206,25926,directed,1
254,25743,directed,1
255,25945,directed,1
206,25946,directed,1
256,25947,directed,1
257,25774,directed,1
258,25948,directed,1
259,25772,directed,1
206,25946,directed,1
220,220,directed,1
206,25946,directed,1
223,223,directed,1
260,25949,directed,1
261,261,directed,1
262,262,directed,1
263,25950,directed,1
264,264,directed,1
265,25743,directed,1
266,266,directed,1
206,25922,directed,1
267,25951,directed,1
213,213,directed,1
222,222,directed,1
268,25823,directed,1
269,25952,directed,1
222,222,directed,1
261,261,directed,1
270,270,directed,1
222,222,directed,1
271,25953,directed,1
222,222,directed,1
272,25954,directed,1
206,25928,directed,1
222,222,directed,1
206,25928,directed,1
273,25955,directed,1
274,274,directed,1
275,275,directed,1
276,276,directed,1
277,277,directed,1
278,278,directed,1
279,25956,directed,1
280,280,directed,1
281,281,directed,1
282,282,directed,1
265,25710,directed,1
283,283,directed,1
284,284,directed,1
285,285,directed,1
286,286,directed,1
287,25957,directed,1
265,25683,directed,1
262,262,directed,1
220,220,directed,1
229,229,directed,1
206,25946,directed,1
288,25958,directed,1
206,25946,directed,1
282,282,directed,1
206,25946,directed,1
289,289,directed,1
290,290,directed,1
244,244,directed,1
206,25922,directed,1
222,222,directed,1
291,25959,directed,1
292,25960,directed,1
206,25920,directed,1
244,244,directed,1
293,25961,directed,1
206,25920,directed,1
294,25962,directed,1
295,25963,directed,1
206,25920,directed,1
226,25964,directed,1
222,222,directed,1
222,222,directed,1
268,25965,directed,1
222,222,directed,1
296,25737,directed,1
297,25710,directed,1
298,25966,directed,1
299,25967,directed,1
300,19373,directed,1
301,301,directed,1
215,25908,directed,1
302,25968,directed,1
303,25949,directed,1
304,25969,directed,1
